选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,J1,9,27,13.5,12.5,26,,0
A1,J2,9.8,23.5,13,11.5,23.5,,0
A2,J1,9,27.5,12.5,12.5,26,,0
A2,J2,8.5,28.2,12.7,12.7,25.5,,0
A3,J1,7.8,24,10,12.2,24,,0
A3,J2,8.9,26.8,10.3,12.5,25.5,,0
A4,J1,10,28,13,12.5,26.5,,0
A4,J2,9.8,28.8,13.5,13.5,27.3,,0
B1,J1,9,27.5,12,12,26.5,,0
B1,J2,9.5,28.9,12.5,12.5,26.5,,0
B2,J1,7,27,14.5,12.5,28,,0
B2,J2,7.9,28,13.5,12.8,27,,0
B4,J1,8.1,25,8,10.5,23,,0
B4,J2,9,25.5,8,8.5,21.8,,0
C1,J1,9.2,26,11.8,13,27,,0
C1,J2,9,26,10.5,11.5,26.5,,0
C4,J1,9.3,26,12.4,12.5,26.5,,0
C4,J2,9.2,26.3,11,12.4,26.8,,0
D1,JR2,9,25.5,12,12.5,25,,0
D1,J2,9.2,25.5,11.5,12.4,24,,0
D2,JR2,8.8,26,10,12.2,25,,0
D2,J2,8.9,26.5,10.5,12.3,25,,0
D3,JR2,9.2,27,9.5,14,26,,0
D3,J2,9.3,27.5,10,14.1,26,,0
D4,JR2,7,11,9,1,3,,0
D4,J2,7.2,10,8,2,4,,0
